CITY|SECTOR_ID|SECTOR_NAME|ENODEBID|ENODEB_NAME|EARFCN|PCI|PSS|SSS|TAC|VENDOR|LONGITUDE|LATITUDE|STYLE|AZIMUTH|HEIGHT|ELECTTILT|MECHTILT|TOTLETILT
sanxia|253887-2|D县原店村-HLHF-3|253887|D县原店村-HLHF|38400|148|||14387|华为|112.059|33.6808|宏站|275.0|40.0|6.0|3.0|9.0
sanxia|253888-0|D县职高-HLHF-1|253888|D县职高-HLHF|38400|489|||14387|华为|112.076|33.72|宏站|15.0|26.0|6.0|6.0|12.0
sanxia|253888-1|D县职高-HLHF-2|253888|D县职高-HLHF|38400|491|||14387|华为|112.076|33.72|宏站|120.0|26.0|6.0|4.0|10.0
sanxia|253888-2|D县职高-HLHF-3|253888|D县职高-HLHF|38400|490|||14387|华为|112.076|33.72|宏站|280.0|30.0|6.0|8.0|14.0
sanxia|253888-3|D县职高-HLHD-4|253888|D县职高-HLHF|37900|192|||14387|华为|112.076|33.72|宏站|15.0|26.0|6.0|6.0|12.0
sanxia|253888-4|D县职高-HLHD-5|253888|D县职高-HLHF|37900|193|||14387|华为|112.076|33.72|宏站|120.0|26.0|6.0|4.0|10.0
sanxia|253888-5|D县职高-HLHD-6|253888|D县职高-HLHF|37900|194|||14387|华为|112.076|33.72|宏站|280.0|30.0|6.0|8.0|14.0
sanxia|253889-0|D县中原量仪-HLHF-1|253889|D县中原量仪-HLHF|38400|227|||14387|华为|112.042|33.691|宏站|90.0|38.0|6.0|2.0|8.0
sanxia|253889-1|D县中原量仪-HLHF-2|253889|D县中原量仪-HLHF|38400|225|||14387|华为|112.042|33.691|宏站|180.0|38.0|6.0|2.0|8.0
sanxia|253889-2|D县中原量仪-HLHF-3|253889|D县中原量仪-HLHF|38400|226|||14387|华为|112.042|33.691|宏站|270.0|38.0|6.0|2.0|8.0
sanxia|253890-0|B马大鸿泰美化塔-HLHF-1|253890|B马大鸿泰美化塔-HLHF|38400|503|||14419|华为|112.863|33.755|宏站|0.0|33.0|6.0|1.0|7.0
sanxia|253890-1|B马大鸿泰美化塔-HLHF-2|253890|B马大鸿泰美化塔-HLHF|38400|502|||14419|华为|112.863|33.755|宏站|130.0|33.0|6.0|1.0|7.0
sanxia|253890-2|B马大鸿泰美化塔-HLHF-3|253890|B马大鸿泰美化塔-HLHF|38400|501|||14419|华为|112.863|33.755|宏站|190.0|33.0|6.0|1.0|7.0
sanxia|253891-0|B马电视台-HLHF-1|253891|B马电视台-HLHF|38400|336|||14419|华为|112.876|33.7513|宏站|30.0|15.0|6.0|3.0|9.0
sanxia|253891-1|B马电视台-HLHF-2|253891|B马电视台-HLHF|38400|338|||14419|华为|112.876|33.7513|宏站|110.0|30.0|6.0|8.0|14.0
sanxia|253891-2|B马电视台-HLHF-3|253891|B马电视台-HLHF|38400|337|||14419|华为|112.876|33.7513|宏站|205.0|30.0|6.0|8.0|14.0
